Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
C044,1,22, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,1,16, , , , , , , , ,2,1,1,1,1,3,1, , , ,1.42857142857143
C045,1,26, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,200,1.5,16, , , , , , , , ,2,1,1,1,2,4,1, , , ,1.71428571428571
C048,1,20, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,175,1.5,16, , , , , , , , ,3,2,1,1,1,2,1, , , ,1.57142857142857
C053,2,24, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,50,1,15, , , , , , , , ,3,3,1,1,1,2,1, , , ,1.71428571428571
C054,1,45, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,6,17, , , , , , , , ,3,3,2,3,3,2,4, , , ,2.85714285714286
C055,2,35, ,INDEPENDIENTE,COL,ROLDANILLO, ,2,2, , ,80,3,17, , , , , , , , ,3,2,1,1,1,2,1, , , ,1.57142857142857
C057,1,23, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,100,4,15, , , , , , , , ,3,5,1,2,1,2,1, , , ,2.14285714285714
C058,2,21, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,50,1,15, , , , , , , , ,4,2,3,1,1,3,1, , , ,2.14285714285714
C060,2,21, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,250,2,15, , , , , , , , ,2,1,1,3,1,2,1, , , ,1.57142857142857
C062,1,23, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,1,15, , , , , , , , ,4,2,1,1,1,2,1, , , ,1.71428571428571
